,labels
5644,t
23504,e
18932,e
12193,t
20975,t
20175,b
17347,b
21685,m
8343,b
22658,t
1847,e
18537,t
24053,b
9031,m
15030,b
24648,t
10967,t
3111,e
11009,t
21876,e
18112,e
23931,m
10817,b
7914,m
16170,b
2564,b
12556,m
12688,e
13041,e
7396,m
1108,t
15174,b
23670,e
20034,e
774,b
20110,e
11113,b
14694,m
16137,t
10234,e
19937,m
9857,m
17868,t
20843,e
10934,e
13290,m
956,e
21836,m
15364,t
18171,t
8746,b
9141,m
17709,t
24345,t
2695,e
4143,m
15191,m
5100,b
5882,b
8342,b
19389,m
16487,t
18120,t
23714,b
10269,m
18411,b
189,e
19676,b
13515,e
14806,e
18271,b
23799,b
2373,e
4954,e
18044,m
20984,b
16138,t
4956,b
7372,b
9673,b
11680,b
3246,e
24545,b
10477,t
12440,m
8513,b
8405,b
17529,t
6744,e
24035,m
24118,b
5506,e
3611,t
1937,b
19148,b
9578,m
15761,b
7925,t
18062,b
23493,m
22583,t
3200,m
545,m
22927,m
22283,t
15797,m
18192,m
15279,b
20214,b
14918,e
19682,m
459,b
2508,t
24075,m
13551,t
6415,e
10340,t
19673,b
16516,t
17089,m
5171,b
3069,m
10501,b
11415,b
4299,t
8225,m
13322,t
23292,m
9510,e
7950,t
17605,t
24698,e
6548,b
23781,m
20348,t
22519,m
11946,t
3492,e
1879,e
12075,m
5156,b
4363,m
13091,m
16965,e
18751,e
5601,t
20312,m
1675,m
8646,m
5453,e
21410,m
19589,m
12189,b
19462,t
5658,e
23728,e
23123,t
4856,e
7592,b
13165,b
19006,e
17325,e
9147,m
16841,t
22971,b
5533,b
22521,m
18040,e
21337,e
14712,m
14378,m
21412,e
7115,b
8421,m
23920,t
22360,m
10834,t
24734,m
22081,m
1273,t
13562,t
14846,b
7081,b
19821,m
20566,e
20086,m
15433,m
5690,m
4208,t
2655,m
23258,b
1716,b
6377,m
9048,t
1515,m
7332,b
10993,m
24195,m
410,e
18364,t
19120,b
6519,e
14750,b
19249,e
4702,m
3757,e
3963,t
3129,b
16550,e
11004,t
21264,b
13463,b
14981,m
9592,m
21728,e
213,b
19785,e
4484,m
11319,t
1474,m
17931,m
19691,b
13709,t
15189,t
17783,m
17182,m
11784,t
15693,b
10293,b
19604,m
564,m
16703,e
4238,b
23759,t
13399,m
18872,e
21286,m
2458,t
23377,b
999,t
4918,t
3564,m
19541,m
17188,t
23253,b
23191,t
9767,t
6755,e
14882,b
12212,e
22122,e
24898,e
12883,b
17925,b
2097,t
16416,b
22528,b
1584,t
23995,m
3615,t
18064,b
23915,b
3223,t
15387,e
8140,m
12908,m
13656,m
22847,e
24959,e
17528,m
2537,m
13806,m
19989,t
5790,m
14529,e
5527,b
7471,m
12178,t
11832,t
20658,b
19170,b
15434,e
3553,b
14654,b
17772,e
23273,m
23852,b
1814,b
19264,t
19508,t
22338,m
314,e
23663,t
14804,m
2298,b
22803,t
20676,e
23974,t
11204,m
14556,t
21226,t
12157,e
18693,m
2807,b
7735,m
5666,t
13608,e
5124,b
23713,t
3435,b
12681,m
11830,b
22728,b
4455,e
21644,t
12228,e
15867,e
58,b
7425,m
3081,b
7218,t
23641,t
990,b
7321,t
19761,e
19353,e
22906,m
5198,b
18725,e
17359,m
21771,m
917,e
9056,m
14212,e
9575,m
14288,e
6319,m
7921,t
3882,m
17521,m
15397,t
8467,m
4968,e
14928,m
12952,e
5304,b
22319,b
7891,m
11346,b
11445,t
19391,t
24084,e
14616,b
4705,e
9524,t
23132,m
24799,t
19620,e
6659,m
13493,b
18572,m
8680,m
17187,m
10892,b
7727,m
13425,t
20233,t
6187,m
74,m
974,t
2752,m
8570,m
13496,b
9794,m
16847,e
8383,t
2512,b
18208,b
3494,e
13134,m
8542,t
11956,e
15208,t
7479,b
21016,e
1012,b
22780,t
3810,t
10809,b
13804,t
12170,m
3878,e
883,m
16444,t
1112,m
897,m
5634,b
22207,b
2149,e
3125,t
19253,m
4816,m
18274,m
20893,t
20756,t
16371,b
836,e
22420,m
15120,m
22557,e
16829,t
19183,b
2031,t
20164,b
5774,b
12707,e
22020,t
9089,t
7300,b
18125,b
18386,m
13080,m
17454,b
2431,m
11263,b
3034,m
6621,e
20898,t
19578,b
9988,t
20876,m
9530,b
12533,e
2379,t
5844,e
2755,b
4463,e
4796,b
18267,b
13264,m
3197,e
2466,b
23457,b
15143,m
2293,m
14468,t
11875,t
13851,t
1025,e
8711,m
13825,t
8527,e
5531,b
8500,m
241,e
16002,t
15877,e
19046,m
21359,m
20527,e
5902,b
3095,b
1390,m
8675,e
18482,m
19599,b
7304,t
18273,e
11712,b
21076,b
20465,b
14303,b
24892,m
8396,b
11598,b
2756,m
6092,e
4352,b
5539,m
24812,m
8199,e
4378,t
19254,b
21874,e
23130,b
5659,m
5801,m
20222,t
15854,b
10559,t
1073,e
12660,e
15302,m
7205,m
13669,m
2006,t
18819,t
10556,e
15600,b
12832,b
20197,e
5360,e
16940,e
7629,b
13557,m
18520,b
21926,b
12924,m
14957,b
14077,t
7385,b
23917,e
6692,b
9656,m
2673,e
553,e
4533,e
15035,m
4532,t
17445,t
1363,e
18194,m
10764,m
22450,m
5993,e
15955,e
16858,t
24299,b
14420,e
9797,b
21638,t
5302,t
8134,t
9465,b
6424,m
23544,t
13952,e
13854,e
6546,t
4845,b
6998,t
611,t
17670,b
18412,b
22017,m
6873,m
14873,t
13857,t
12562,t
1979,t
21893,m
4324,e
14598,b
6654,e
5063,m
18773,e
12794,b
23090,e
6125,e
9754,e
12233,e
8522,m
11870,b
24957,e
11115,m
3917,b
15792,m
12973,t
15453,t
14774,m
8074,b
6593,m
3104,b
8084,e
24337,t
15626,m
11827,m
10655,m
20571,e
6191,m
8296,b
9495,t
13565,t
13456,e
6038,t
6313,m
7963,m
9428,b
1116,t
11453,b
11408,b
12015,e
14476,e
24218,m
3499,b
10538,t
20978,e
2289,e
1165,e
13434,e
21558,e
16609,t
9471,e
24664,b
6193,t
17394,b
6171,m
15567,b
13951,m
21601,t
10037,m
22176,e
15063,b
22162,b
8946,b
4610,e
10452,t
19481,b
18667,t
19651,t
20479,t
15299,b
18923,b
4837,b
14308,t
22735,m
22069,b
5771,e
23381,b
22523,e
19100,m
11047,t
12748,b
6078,b
8456,m
5556,t
180,m
2643,t
23646,b
20574,t
11005,b
8801,b
22700,e
22562,t
23941,b
18177,m
2362,m
1940,b
6154,t
9938,b
1086,e
18337,t
1327,t
24810,t
2961,e
21723,e
656,t
12631,t
22340,m
2959,t
17279,t
3828,e
1277,e
4852,m
18554,m
580,t
19732,e
19110,b
24567,e
16434,t
12410,b
12420,b
2747,e
11224,e
22406,e
12818,t
14030,m
1020,m
19939,m
16084,b
16218,t
20097,b
21994,e
18618,e
24395,e
11237,b
23823,b
9536,t
6252,t
4563,b
17161,m
1601,e
24985,m
17604,m
9949,m
911,b
9768,t
3713,m
5185,m
8794,t
21692,t
19893,m
24509,m
5356,m
2370,b
20784,t
14267,t
21465,e
2870,e
270,b
450,m
21285,b
13878,m
24776,t
20691,b
12893,b
15023,e
21022,b
10324,t
15500,b
21721,t
151,e
9093,e
14421,t
15865,e
313,b
11377,m
6434,t
16572,b
15817,b
19079,t
17882,b
1583,t
12624,m
3928,e
9795,t
15187,b
16163,m
19404,m
28,m
3927,t
7228,t
5498,t
14539,m
3414,t
3729,e
13767,b
3314,t
1321,m
5217,e
22876,t
13639,m
24153,t
13071,b
16322,b
4066,b
19299,e
12308,t
8691,m
24901,m
11042,t
4977,e
9309,m
21678,b
16873,b
8275,t
15032,b
7605,m
20931,b
17781,t
7431,t
19653,e
7442,t
13752,b
2426,b
4252,m
22199,e
1258,b
7538,b
18523,m
20616,t
20282,e
21729,e
368,m
12402,m
18224,e
10412,b
3238,t
2647,b
6351,m
16989,m
1620,b
262,b
23708,e
21778,t
9376,b
21099,b
5907,m
19829,t
16078,e
12027,m
6438,e
23151,e
14916,e
20764,m
12165,m
4543,e
2151,e
15801,t
11024,b
18984,m
7777,b
6295,m
1,b
15837,m
11957,b
22127,m
21883,t
15468,m
24282,b
23959,t
255,m
84,e
19741,t
8713,b
14345,m
7286,t
19339,t
15404,m
11412,m
1201,b
11309,t
7774,b
6573,m
1410,b
120,m
12722,t
2415,m
11940,t
24240,b
14630,b
18918,b
14061,b
18045,m
3513,m
1817,b
5519,t
18646,e
4046,m
6877,m
16219,b
15538,t
1187,t
19149,e
13990,t
1927,e
19116,b
2395,b
15709,e
13029,b
4836,e
14134,e
13644,t
24060,t
11187,e
14034,m
23150,t
13271,e
8710,m
3121,t
15357,m
12960,e
14793,t
11734,t
7401,b
4737,t
13724,b
8059,e
4052,m
13104,b
19903,b
5132,e
9881,b
10598,t
4751,b
2873,e
19310,e
22453,e
7382,t
13738,e
23304,t
15425,t
17017,m
9227,m
17121,b
18103,m
2099,m
24453,e
1514,m
3822,t
4471,e
24506,b
2844,m
15269,e
22654,t
19921,e
17384,m
22346,b
14056,m
22178,m
2743,e
4820,t
11852,m
286,m
15056,e
12797,t
839,t
5055,t
4853,t
169,e
7886,t
19181,m
21822,t
15343,t
4999,e
9663,b
19231,m
15646,b
14366,t
20692,e
5265,m
8690,e
19880,m
13527,b
11582,b
3516,m
18940,t
1379,b
9039,t
14442,t
14002,b
4982,t
17246,e
131,t
7835,m
15786,b
13682,b
10058,b
20602,m
7626,m
20381,e
785,m
11813,m
13633,b
14560,e
24833,m
21811,t
14508,t
8089,m
12871,t
6327,b
3363,b
18698,m
4881,m
7403,e
7516,e
8627,t
23389,b
9915,e
23786,b
13615,b
18874,t
20618,m
2792,b
8348,t
3744,e
4096,b
17363,t
8030,t
6206,e
6182,t
1831,e
24720,b
20861,e
15438,t
3058,b
5007,t
19146,t
4297,m
12809,m
21204,t
13107,t
21857,m
6270,b
19056,t
16367,t
9724,m
3612,m
22966,b
2627,t
22754,b
9460,m
14979,m
6951,b
7991,b
10840,e
11144,m
14905,t
24280,e
894,e
4540,e
877,t
13945,m
15303,t
17207,t
15049,m
12452,t
94,b
15807,t
1337,e
7328,b
2841,t
10841,b
24085,e
20919,e
2721,b
5457,b
4741,m
13539,m
6425,b
18357,b
11795,b
12106,m
16963,m
14549,b
16919,t
2207,e
17158,b
6085,b
16147,m
14540,m
18558,m
14192,m
4088,m
16223,b
4155,m
19030,m
14239,b
7759,m
11817,e
10203,b
11032,b
11308,m
7025,e
19714,e
16997,e
22250,m
3644,m
19617,t
24167,m
20411,e
11724,m
21924,t
19692,e
10801,t
11252,b
5259,m
10316,m
2786,t
9202,e
4038,e
21798,m
14650,m
11768,m
9986,m
16413,e
21183,t
20682,e
15296,t
16806,b
18496,e
24835,m
3124,e
6913,m
15440,e
6572,e
20799,t
3836,t
3489,e
12121,e
12390,b
2274,t
5432,b
3571,b
15737,e
15574,t
4057,b
7644,t
2249,b
10065,b
11109,b
20945,b
3092,e
19188,b
12555,e
6794,e
16405,m
22979,e
6990,e
14015,b
17996,b
12640,m
4074,t
11548,e
11268,m
9521,m
3902,t
12271,t
2625,m
24048,m
3076,m
4198,b
22869,e
10758,e
22753,m
8790,e
18637,b
22198,b
11322,e
5756,m
18928,t
5494,b
24566,t
4606,m
23665,e
7916,t
1189,t
5673,t
11175,b
10890,t
7150,e
11556,t
13498,b
20917,e
24496,b
17665,e
11376,b
20752,b
13933,b
13116,b
5032,b
10651,m
2934,t
17957,b
17396,e
22299,t
2602,e
17063,b
4047,m
24997,t
6745,m
5735,m
13099,t
137,t
3158,m
3358,e
12811,m
15383,b
12583,b
12793,t
24537,b
1059,e
6052,b
1525,t
6520,e
15182,b
20594,b
8160,e
6293,m
2518,e
12861,t
10918,m
59,b
5587,m
19688,m
8758,b
19996,m
14232,b
4278,m
7906,e
13141,b
4305,t
11836,b
19749,m
2827,e
16342,t
4976,e
6111,e
17035,e
3563,e
1912,e
3252,e
10732,t
19797,m
15591,b
5041,b
17299,b
1655,t
15575,e
7972,e
21114,m
22087,b
10237,m
5144,m
24349,m
10067,t
24870,b
14768,b
901,b
1057,e
23013,e
5800,b
6666,e
5859,m
6032,b
11729,m
7253,b
15547,e
13713,t
16120,m
15361,t
9531,e
2765,m
22382,e
6160,t
14052,t
16065,m
5127,b
20515,t
13348,e
20828,t
18702,t
683,m
6807,b
9479,m
19436,e
13206,e
128,m
7694,m
21913,t
140,m
22818,e
13346,b
9948,m
16904,t
24497,e
5015,b
821,b
23010,e
24007,b
19733,t
12423,t
16117,e
21990,e
1345,t
21109,m
166,m
6836,m
18945,e
18640,b
3587,t
12507,e
13994,m
18530,e
9810,m
2473,e
17541,b
13190,e
11840,m
21149,t
22581,b
3225,t
16092,t
7455,b
6383,b
14714,t
19677,m
15833,b
23660,m
23654,t
17596,e
10929,b
6066,t
18427,t
19668,t
16527,m
16582,b
638,m
20128,t
5485,e
23636,m
21705,e
22722,t
24331,t
11325,e
20521,b
22326,m
5623,e
387,e
2477,t
10315,e
1756,t
18627,e
17983,e
10531,e
441,t
10913,t
828,e
15961,m
19047,m
5374,e
7296,t
15019,t
5984,e
9192,b
3364,m
22578,b
22487,m
21356,b
4107,b
11090,b
18254,b
8236,m
6328,m
9897,t
7813,m
24912,b
9388,m
7357,m
10883,e
5554,b
14318,b
15840,m
14920,t
8958,b
5762,m
17154,t
3670,m
3915,t
21710,e
2778,t
4243,e
21585,b
11153,m
24953,t
10914,m
21296,e
715,t
2138,b
22934,e
9336,e
9570,e
17016,m
9924,e
15213,t
3302,b
20472,e
4022,m
9711,t
14230,m
10145,t
1332,m
7043,b
16053,e
24156,e
24666,e
7893,t
7083,m
16566,t
7059,t
6190,m
16343,m
16023,t
22692,b
16236,e
4454,b
12114,e
9481,m
9903,t
4433,m
7563,e
17353,e
24806,b
24663,b
21032,b
20875,b
11186,m
14499,m
9151,m
16954,m
17362,m
11003,m
10780,b
24217,b
16742,m
531,b
188,t
18662,b
10442,m
10441,t
20372,t
23412,t
6679,e
177,t
17790,e
18146,m
16861,e
7967,b
3659,b
22148,b
14736,e
10413,e
5480,e
2581,b
24238,t
7551,t
8400,e
1331,e
2608,t
23848,b
5508,t
4368,b
19026,b
1373,e
11289,b
9372,e
4017,m
10127,e
24256,b
10812,b
6564,t
14575,t
19207,e
9362,t
6795,b
8345,b
23413,e
5079,e
1438,e
15645,e
12988,m
24800,m
2952,e
9734,e
11330,e
7206,t
14152,e
15811,e
20996,e
18087,m
21777,m
17027,e
13746,b
17189,t
15423,m
12597,b
10714,t
1042,m
21593,e
19494,m
24294,e
11989,m
5233,e
7547,t
19558,b
10020,b
18888,t
811,e
6426,t
17296,m
7065,t
18148,b
23947,t
15563,m
16700,e
16361,b
4559,e
1600,e
22386,b
16496,e
12886,e
19141,m
369,t
8055,b
23870,m
14746,m
5809,t
8965,m
15565,b
10643,t
3267,b
2770,m
15787,m
8352,m
18656,e
3300,e
22335,b
8321,t
11058,e
6630,m
17524,e
20444,m
24796,m
5368,b
10671,b
6514,t
23813,m
13436,t
13730,t
23968,m
5759,m
15134,e
1310,e
9515,b
2799,b
14633,e
6965,e
18950,b
18609,b
15959,e
776,t
11307,b
22538,t
3538,e
15260,t
10397,e
13855,m
23705,m
20364,b
17516,e
21903,m
17598,e
1013,t
15308,b
3791,e
18304,b
15825,m
15726,t
6768,t
57,b
4275,m
19489,m
10278,e
12769,m
2323,m
17111,t
6129,m
501,m
15585,e
21074,m
14980,e
17261,e
19779,b
8700,b
8885,t
21886,e
7726,e
19341,m
6397,e
12534,e
5148,t
18282,b
3309,m
21546,m
7011,t
17990,m
14933,m
18216,t
4607,m
21639,m
5648,t
345,e
5151,e
817,e
16744,t
19290,m
9653,b
24551,e
972,b
281,t
13940,m
20182,t
2705,m
964,e
20043,e
3330,e
22349,t
6029,e
21972,b
5475,t
21567,m
4786,b
13655,e
7572,m
14236,e
24101,b
11857,b
1385,m
9260,m
19633,t
3036,t
16909,t
19789,b
21992,e
1623,t
13089,m
18084,m
1766,b
23692,m
14871,b
19271,m
13962,e
1528,m
14816,e
23526,b
14530,m
11189,e
17127,t
8655,t
21227,b
14311,t
16034,m
7655,b
21618,b
12743,e
32,t
3426,t
13925,t
20192,e
1408,b
23032,e
4495,m
13811,e
12717,m
15314,m
15415,m
7754,b
13868,t
22003,t
12338,b
16196,m
20298,b
777,b
3665,t
3106,e
2361,t
21859,m
3215,e
20410,b
5390,m
738,m
14167,m
12684,e
13411,e
24044,t
20514,t
8243,m
23667,b
1424,b
10335,b
20871,m
240,t
4335,t
13882,e
4953,e
2095,t
23277,t
24336,b
13458,t
17104,m
1455,m
4518,t
13070,m
21869,m
15338,m
17980,m
6508,t
759,b
22567,e
15216,b
8305,t
10343,m
6931,b
4264,m
21732,e
10199,b
3738,e
18685,m
10070,e
859,t
19534,e
24055,e
448,t
10351,m
31,e
8831,t
13010,e
17676,e
14926,t
3579,b
15055,b
21766,t
15480,b
2347,t
9821,t
10596,m
5760,t
3562,b
10258,m
4480,e
24700,b
11781,t
7596,t
9525,e
21588,m
20604,t
22177,t
6737,e
19772,e
15887,t
17001,m
5314,t
8297,e
24020,e
17915,m
17477,b
10792,b
1494,e
12765,b
14544,b
2140,e
3712,m
1883,b
13912,b
10963,b
2137,e
20554,b
7575,e
20630,b
5963,e
7362,t
23730,e
907,e
18801,m
936,t
15487,b
4317,b
13906,b
10879,e
8841,t
6930,t
13145,m
11951,t
13154,t
24491,m
15418,b
15244,m
14942,m
8793,b
11821,b
6622,m
18387,b
4995,m
22865,m
4521,b
9378,e
24479,e
14898,b
2876,m
14693,t
9957,b
24725,b
2071,e
19990,m
12209,b
13875,t
4220,m
20068,b
13065,e
24969,e
13236,t
16984,e
13907,m
8550,b
3071,m
13140,m
17544,t
2077,m
12392,e
12790,b
22849,m
424,b
20743,e
8789,t
13893,m
21985,m
44,t
15179,m
831,b
16802,t
21162,b
5602,e
12376,b
21708,b
7615,m
15074,e
277,e
118,b
6297,t
6409,m
4706,t
1611,m
13187,b
18728,b
10798,t
3351,m
23283,e
10586,e
2150,e
5787,m
18601,e
9773,b
21841,e
11980,e
8244,b
5802,m
12078,b
19311,b
19550,e
11655,t
6245,t
17755,m
4865,e
24662,m
15678,e
14553,t
20578,b
15107,m
22891,e
12941,e
19755,t
549,b
11345,t
13156,m
13679,m
7647,m
4256,b
17012,b
15080,b
23780,m
21255,m
20821,e
8742,t
24923,m
8481,t
2197,m
15229,t
9109,b
6867,t
15384,e
1218,t
14620,m
1198,m
14929,e
9209,e
13535,m
3231,e
20113,b
5889,b
3407,b
5665,t
11491,m
8826,b
14440,b
13908,t
17728,m
15999,e
5996,t
14970,t
11606,t
5919,m
798,m
10657,m
17753,t
4906,e
16188,e
6526,m
3599,e
12466,m
43,m
4083,b
16885,b
1454,t
8704,b
13167,m
13249,m
22139,e
1500,m
6359,t
3283,e
13820,b
5535,t
22063,t
14286,m
18071,m
9045,t
23088,m
16546,m
4340,b
8032,e
8067,e
13061,e
15976,b
15376,e
7047,b
10257,t
8381,m
5896,m
8892,b
22715,e
24166,b
1578,e
24046,e
1635,e
14621,b
17288,b
18380,b
23787,m
5420,e
21234,m
16273,e
18047,e
24774,t
408,e
12347,t
4060,b
22706,e
15856,b
3976,b
18310,t
21490,e
2365,m
17938,t
3348,e
21164,m
1594,t
14624,m
2620,t
15512,b
12283,t
14106,m
15832,b
14029,m
9932,e
5879,m
17042,b
5852,e
9180,m
20541,e
8151,m
11519,e
7242,b
3282,t
23055,t
22590,m
19240,m
3389,b
16392,t
23499,b
17628,m
8970,e
6302,m
1354,m
24309,t
12059,e
11220,b
10594,m
14721,b
15398,b
23286,m
16379,t
18634,e
16827,b
15640,e
20219,b
11568,t
19167,t
16752,e
9294,e
9343,e
17162,e
24686,e
5295,t
11774,b
22298,e
15679,t
14585,e
15719,m
16289,b
20998,m
11959,e
13699,b
5593,e
1767,t
1418,t
20463,m
18295,m
3120,e
19675,m
20315,m
11646,b
18363,t
4701,t
14049,m
10716,e
2542,b
19086,t
13636,m
6571,e
14698,t
23429,m
22221,t
17834,m
12363,t
13036,e
11259,e
2886,t
15596,e
7428,e
20934,e
4122,e
22895,b
1622,t
7137,m
20350,e
16063,t
7678,t
7806,b
21343,b
8010,e
10214,m
6210,m
24721,e
3430,t
8169,e
16876,e
3266,b
11323,b
4901,b
17708,t
6651,b
23399,t
8638,t
24511,m
14802,e
8398,t
15462,b
20268,e
20367,e
17975,m
18643,e
22601,m
5638,e
19770,e
10492,t
6254,e
14849,t
706,e
12536,e
14788,m
20190,b
